f1,f2,f3,f4,f5,label
0.417411,0.222108,0.119865,0.337615,0.942910,4.000000
0.323203,0.518791,0.703019,0.363630,0.971782,18.000000
0.962447,0.251782,0.497249,0.300878,0.284840,9.000000
0.036887,0.609564,0.502679,0.051479,0.278646,21.000000
0.908266,0.239562,0.144895,0.489453,0.985650,14.000000
0.242055,0.672136,0.761620,0.237638,0.728216,18.000000
0.367783,0.632306,0.633530,0.535775,0.090290,0.000000
0.835302,0.320780,0.186519,0.040775,0.590893,11.000000
0.677564,0.016588,0.512093,0.226496,0.645173,4.000000
0.174366,0.690938,0.386735,0.936730,0.137521,8.000000
0.341066,0.113474,0.924694,0.877339,0.257942,22.000000
0.659984,0.817222,0.555201,0.529651,0.241852,0.000000
0.093103,0.897216,0.900418,0.633101,0.339030,0.000000
0.349210,0.725956,0.897110,0.887086,0.779876,17.000000
0.642032,0.084140,0.161629,0.898554,0.606429,14.000000
0.009197,0.101472,0.663502,0.005062,0.160808,21.000000
0.548734,0.691895,0.651961,0.224269,0.712179,25.000000
0.237249,0.325400,0.746491,0.649633,0.849223,1.000000
0.657613,0.568309,0.093675,0.367716,0.265202,15.000000
0.243990,0.973011,0.393098,0.892047,0.631139,17.000000
0.794811,0.502637,0.576904,0.492518,0.195243,9.000000
0.722452,0.280772,0.024316,0.645472,0.177111,7.000000
0.940459,0.953929,0.914864,0.370159,0.015457,0.000000
0.928319,0.428184,0.966655,0.963620,0.853009,10.000000
0.294449,0.385098,0.851137,0.316922,0.169493,21.000000
0.556801,0.936155,0.696030,0.570061,0.097176,0.000000
0.615007,0.990054,0.140084,0.518330,0.877373,23.000000
0.740769,0.697016,0.702484,0.359491,0.293592,9.000000
0.809361,0.810113,0.867072,0.913241,0.511342,10.000000
0.501516,0.798295,0.649964,0.701967,0.795793,17.000000
0.890005,0.337995,0.375583,0.093982,0.578280,16.000000
0.035942,0.465598,0.542645,0.286541,0.590833,3.000000
0.030500,0.037348,0.822601,0.360191,0.127061,12.000000
0.522243,0.769994,0.215821,0.622890,0.085347,15.000000
0.051682,0.531355,0.540635,0.637430,0.726091,18.000000
0.975852,0.516300,0.322956,0.795186,0.270832,7.000000
0.438971,0.078456,0.025351,0.962648,0.835980,6.000000
0.695974,0.408953,0.173294,0.156437,0.250243,16.000000
0.549227,0.714596,0.660197,0.279934,0.954865,18.000000
0.737897,0.554354,0.611721,0.419600,0.247731,9.000000
0.355973,0.757846,0.014393,0.116073,0.046003,15.000000
0.040729,0.855461,0.703658,0.474174,0.097834,2.000000
0.491616,0.473472,0.173202,0.433852,0.398505,4.000000
